r,counts
0.010000,0.000001
0.030000,0.000012
0.050000,0.000043
0.070000,0.000066
0.090000,0.000106
0.110000,0.000172
0.130000,0.000253
0.150000,0.000331
0.170000,0.000414
0.190000,0.000549
0.210000,0.000633
0.230000,0.000761
0.250000,0.000845
0.270000,0.001034
0.290000,0.001227
0.310000,0.001292
0.330000,0.001509
0.350000,0.001650
0.370000,0.001909
0.390000,0.002054
0.410000,0.002256
0.430000,0.002591
0.450000,0.002794
0.470000,0.003039
0.490000,0.003305
0.510000,0.003590
0.530000,0.003852
0.550000,0.003996
0.570000,0.004303
0.590000,0.004683
0.610000,0.004961
0.630000,0.005354
0.650000,0.005433
0.670000,0.005695
0.690000,0.006000
0.710000,0.006433
0.730000,0.006703
0.750000,0.006970
0.770000,0.007265
0.790000,0.007721
0.810000,0.008001
0.830000,0.008281
0.850000,0.008262
0.870000,0.008843
0.890000,0.009127
0.910000,0.009429
0.930000,0.009703
0.950000,0.010087
0.970000,0.010013
0.990000,0.010530
1.010000,0.010799
1.030000,0.011005
1.050000,0.011333
1.070000,0.011502
1.090000,0.011608
1.110000,0.011803
1.130000,0.012135
1.150000,0.012499
1.170000,0.012580
1.190000,0.012702
1.210000,0.013035
1.230000,0.013015
1.250000,0.012835
1.270000,0.012927
1.290000,0.013583
1.310000,0.013409
1.330000,0.013447
1.350000,0.013490
1.370000,0.013435
1.390000,0.013662
1.410000,0.013923
1.430000,0.013402
1.450000,0.013736
1.470000,0.013438
1.490000,0.013466
1.510000,0.013479
1.530000,0.013601
1.550000,0.013142
1.570000,0.013373
1.590000,0.013091
1.610000,0.012948
1.630000,0.012994
1.650000,0.012936
1.670000,0.012624
1.690000,0.012393
1.710000,0.012365
1.730000,0.012208
1.750000,0.011997
1.770000,0.011801
1.790000,0.011487
1.810000,0.011489
1.830000,0.011355
1.850000,0.011155
1.870000,0.010817
1.890000,0.010571
1.910000,0.010336
1.930000,0.010064
1.950000,0.009605
1.970000,0.009461
1.990000,0.009032
2.010000,0.009013
2.030000,0.008515
2.050000,0.008366
2.070000,0.008077
2.090000,0.007750
2.110000,0.007485
2.130000,0.007237
2.150000,0.006930
2.170000,0.006718
2.190000,0.006411
2.210000,0.006107
2.230000,0.005951
2.250000,0.005689
2.270000,0.005668
2.290000,0.005227
2.310000,0.004931
2.330000,0.004642
2.350000,0.004494
2.370000,0.004117
2.390000,0.004028
2.410000,0.003761
2.430000,0.003575
2.450000,0.003429
2.470000,0.003272
2.490000,0.002954
2.510000,0.002737
2.530000,0.002596
2.550000,0.002427
2.570000,0.002277
2.590000,0.002169
2.610000,0.002076
2.630000,0.001874
2.650000,0.001775
2.670000,0.001646
2.690000,0.001495
2.710000,0.001410
2.730000,0.001334
2.750000,0.001238
2.770000,0.001127
2.790000,0.001067
2.810000,0.000977
2.830000,0.000919
2.850000,0.000868
2.870000,0.000793
2.890000,0.000709
2.910000,0.000621
2.930000,0.000576
2.950000,0.000562
2.970000,0.000498
2.990000,0.000477
3.010000,0.000441
3.030000,0.000366
3.050000,0.000329
3.070000,0.000329
3.090000,0.000302
3.110000,0.000240
3.130000,0.000223
3.150000,0.000205
3.170000,0.000171
3.190000,0.000141
3.210000,0.000166
3.230000,0.000113
3.250000,0.000121
3.270000,0.000108
3.290000,0.000111
3.310000,0.000096
3.330000,0.000089
3.350000,0.000087
3.370000,0.000069
3.390000,0.000046
3.410000,0.000043
3.430000,0.000048
3.450000,0.000058
3.470000,0.000033
3.490000,0.000033
3.510000,0.000024
3.530000,0.000033
3.550000,0.000022
3.570000,0.000033
3.590000,0.000014
3.610000,0.000019
3.630000,0.000013
3.650000,0.000016
3.670000,0.000011
3.690000,0.000009
3.710000,0.000009
3.730000,0.000009
3.750000,0.000012
3.770000,0.000004
3.790000,0.000007
3.810000,0.000006
3.830000,0.000004
3.850000,0.000004
3.870000,0.000001
3.890000,0.000001
3.910000,0.000003
3.930000,0.000001
3.950000,0.000000
3.970000,0.000001
3.990000,0.000000
