r,counts
0.010000,0.000017
0.030000,0.000080
0.050000,0.000218
0.070000,0.000354
0.090000,0.000591
0.110000,0.000890
0.130000,0.001220
0.150000,0.001586
0.170000,0.002075
0.190000,0.002614
0.210000,0.003079
0.230000,0.003780
0.250000,0.004152
0.270000,0.004903
0.290000,0.005589
0.310000,0.006314
0.330000,0.007051
0.350000,0.007589
0.370000,0.008119
0.390000,0.009092
0.410000,0.009821
0.430000,0.010385
0.450000,0.010997
0.470000,0.011893
0.490000,0.012385
0.510000,0.013039
0.530000,0.013652
0.550000,0.014132
0.570000,0.014887
0.590000,0.015291
0.610000,0.015857
0.630000,0.016184
0.650000,0.016571
0.670000,0.016937
0.690000,0.017241
0.710000,0.017319
0.730000,0.017543
0.750000,0.018081
0.770000,0.018159
0.790000,0.017946
0.810000,0.018089
0.830000,0.018224
0.850000,0.018451
0.870000,0.018387
0.890000,0.018388
0.910000,0.018312
0.930000,0.018043
0.950000,0.017590
0.970000,0.017646
0.990000,0.017306
1.010000,0.017016
1.030000,0.016790
1.050000,0.016585
1.070000,0.016341
1.090000,0.016121
1.110000,0.015696
1.130000,0.015231
1.150000,0.015075
1.170000,0.014270
1.190000,0.014152
1.210000,0.013532
1.230000,0.013282
1.250000,0.012824
1.270000,0.012483
1.290000,0.012079
1.310000,0.011674
1.330000,0.011111
1.350000,0.010628
1.370000,0.010401
1.390000,0.010273
1.410000,0.009524
1.430000,0.009071
1.450000,0.008840
1.470000,0.008426
1.490000,0.008153
1.510000,0.007697
1.530000,0.007415
1.550000,0.006962
1.570000,0.006590
1.590000,0.006307
1.610000,0.006080
1.630000,0.005755
1.650000,0.005410
1.670000,0.005133
1.690000,0.004911
1.710000,0.004707
1.730000,0.004421
1.750000,0.004038
1.770000,0.003692
1.790000,0.003575
1.810000,0.003552
1.830000,0.003185
1.850000,0.003045
1.870000,0.002863
1.890000,0.002652
1.910000,0.002408
1.930000,0.002375
1.950000,0.002240
1.970000,0.002054
1.990000,0.001969
2.010000,0.001827
2.030000,0.001736
2.050000,0.001535
2.070000,0.001448
2.090000,0.001322
2.110000,0.001244
2.130000,0.001076
2.150000,0.001095
2.170000,0.000979
2.190000,0.000879
2.210000,0.000848
2.230000,0.000810
2.250000,0.000721
2.270000,0.000670
2.290000,0.000594
2.310000,0.000602
2.330000,0.000506
2.350000,0.000487
2.370000,0.000463
2.390000,0.000389
2.410000,0.000365
2.430000,0.000350
2.450000,0.000326
2.470000,0.000285
2.490000,0.000256
2.510000,0.000265
2.530000,0.000199
2.550000,0.000178
2.570000,0.000181
2.590000,0.000149
2.610000,0.000157
2.630000,0.000141
2.650000,0.000148
2.670000,0.000113
2.690000,0.000119
2.710000,0.000088
2.730000,0.000075
2.750000,0.000074
2.770000,0.000065
2.790000,0.000047
2.810000,0.000055
2.830000,0.000053
2.850000,0.000039
2.870000,0.000047
2.890000,0.000038
2.910000,0.000025
2.930000,0.000025
2.950000,0.000021
2.970000,0.000026
2.990000,0.000020
3.010000,0.000016
3.030000,0.000022
3.050000,0.000017
3.070000,0.000016
3.090000,0.000010
3.110000,0.000010
3.130000,0.000008
3.150000,0.000005
3.170000,0.000008
3.190000,0.000005
3.210000,0.000011
3.230000,0.000006
3.250000,0.000005
3.270000,0.000002
3.290000,0.000002
3.310000,0.000007
3.330000,0.000000
3.350000,0.000003
3.370000,0.000001
3.390000,0.000001
3.410000,0.000000
3.430000,0.000001
3.450000,0.000000
3.470000,0.000001
3.490000,0.000001
3.510000,0.000000
3.530000,0.000000
3.550000,0.000001
3.570000,0.000002
3.590000,0.000000
3.610000,0.000000
3.630000,0.000000
3.650000,0.000000
3.670000,0.000000
3.690000,0.000000
3.710000,0.000000
3.730000,0.000000
3.750000,0.000000
3.770000,0.000000
3.790000,0.000000
3.810000,0.000001
3.830000,0.000000
3.850000,0.000001
3.870000,0.000000
3.890000,0.000000
3.910000,0.000000
3.930000,0.000000
3.950000,0.000000
3.970000,0.000000
3.990000,0.000000
