r,counts
0.010000,0.020403
0.030000,0.020313
0.050000,0.020281
0.070000,0.020413
0.090000,0.020354
0.110000,0.020118
0.130000,0.020148
0.150000,0.020045
0.170000,0.019478
0.190000,0.019388
0.210000,0.019763
0.230000,0.019387
0.250000,0.019431
0.270000,0.019219
0.290000,0.019028
0.310000,0.019041
0.330000,0.018730
0.350000,0.018448
0.370000,0.018174
0.390000,0.018170
0.410000,0.017922
0.430000,0.017768
0.450000,0.017579
0.470000,0.017096
0.490000,0.017018
0.510000,0.016669
0.530000,0.016389
0.550000,0.016168
0.570000,0.015844
0.590000,0.015403
0.610000,0.015432
0.630000,0.014960
0.650000,0.014673
0.670000,0.014549
0.690000,0.014045
0.710000,0.013664
0.730000,0.013436
0.750000,0.013088
0.770000,0.012740
0.790000,0.012357
0.810000,0.012240
0.830000,0.011659
0.850000,0.011512
0.870000,0.011177
0.890000,0.010900
0.910000,0.010438
0.930000,0.010141
0.950000,0.009911
0.970000,0.009641
0.990000,0.009388
1.010000,0.009050
1.030000,0.008635
1.050000,0.008448
1.070000,0.008034
1.090000,0.007885
1.110000,0.007507
1.130000,0.007405
1.150000,0.006972
1.170000,0.006781
1.190000,0.006423
1.210000,0.006140
1.230000,0.005974
1.250000,0.005785
1.270000,0.005468
1.290000,0.005212
1.310000,0.004960
1.330000,0.004871
1.350000,0.004688
1.370000,0.004469
1.390000,0.004143
1.410000,0.003902
1.430000,0.003811
1.450000,0.003540
1.470000,0.003429
1.490000,0.003225
1.510000,0.003128
1.530000,0.002912
1.550000,0.002786
1.570000,0.002647
1.590000,0.002459
1.610000,0.002259
1.630000,0.002172
1.650000,0.002077
1.670000,0.001931
1.690000,0.001821
1.710000,0.001726
1.730000,0.001616
1.750000,0.001579
1.770000,0.001449
1.790000,0.001372
1.810000,0.001253
1.830000,0.001163
1.850000,0.001124
1.870000,0.001044
1.890000,0.000903
1.910000,0.000872
1.930000,0.000805
1.950000,0.000761
1.970000,0.000732
1.990000,0.000682
2.010000,0.000611
2.030000,0.000583
2.050000,0.000509
2.070000,0.000477
2.090000,0.000475
2.110000,0.000399
2.130000,0.000390
2.150000,0.000375
2.170000,0.000319
2.190000,0.000305
2.210000,0.000282
2.230000,0.000301
2.250000,0.000250
2.270000,0.000217
2.290000,0.000213
2.310000,0.000164
2.330000,0.000168
2.350000,0.000160
2.370000,0.000140
2.390000,0.000143
2.410000,0.000130
2.430000,0.000103
2.450000,0.000122
2.470000,0.000094
2.490000,0.000095
2.510000,0.000079
2.530000,0.000088
2.550000,0.000075
2.570000,0.000046
2.590000,0.000049
2.610000,0.000031
2.630000,0.000041
2.650000,0.000045
2.670000,0.000034
2.690000,0.000037
2.710000,0.000026
2.730000,0.000022
2.750000,0.000026
2.770000,0.000014
2.790000,0.000011
2.810000,0.000022
2.830000,0.000014
2.850000,0.000020
2.870000,0.000021
2.890000,0.000013
2.910000,0.000009
2.930000,0.000015
2.950000,0.000009
2.970000,0.000007
2.990000,0.000008
3.010000,0.000005
3.030000,0.000006
3.050000,0.000004
3.070000,0.000002
3.090000,0.000006
3.110000,0.000003
3.130000,0.000002
3.150000,0.000002
3.170000,0.000001
3.190000,0.000000
3.210000,0.000002
3.230000,0.000000
3.250000,0.000001
3.270000,0.000001
3.290000,0.000003
3.310000,0.000001
3.330000,0.000002
3.350000,0.000001
3.370000,0.000001
3.390000,0.000000
3.410000,0.000000
3.430000,0.000000
3.450000,0.000000
3.470000,0.000000
3.490000,0.000000
3.510000,0.000000
3.530000,0.000000
3.550000,0.000000
3.570000,0.000000
3.590000,0.000000
3.610000,0.000002
3.630000,0.000001
3.650000,0.000000
3.670000,0.000000
3.690000,0.000000
3.710000,0.000002
3.730000,0.000000
3.750000,0.000000
3.770000,0.000000
3.790000,0.000000
3.810000,0.000001
3.830000,0.000000
3.850000,0.000000
3.870000,0.000000
3.890000,0.000000
3.910000,0.000000
3.930000,0.000000
3.950000,0.000000
3.970000,0.000000
3.990000,0.000000
