r,counts
0.010000,0.000012
0.030000,0.000083
0.050000,0.000195
0.070000,0.000385
0.090000,0.000589
0.110000,0.000839
0.130000,0.001159
0.150000,0.001551
0.170000,0.002046
0.190000,0.002396
0.210000,0.003166
0.230000,0.003577
0.250000,0.004251
0.270000,0.004688
0.290000,0.005319
0.310000,0.006214
0.330000,0.006871
0.350000,0.007445
0.370000,0.008224
0.390000,0.008738
0.410000,0.009505
0.430000,0.010213
0.450000,0.010856
0.470000,0.011539
0.490000,0.012175
0.510000,0.012734
0.530000,0.013303
0.550000,0.014029
0.570000,0.014519
0.590000,0.015033
0.610000,0.015400
0.630000,0.016166
0.650000,0.016187
0.670000,0.016691
0.690000,0.017418
0.710000,0.017277
0.730000,0.017577
0.750000,0.017653
0.770000,0.017726
0.790000,0.018098
0.810000,0.018393
0.830000,0.018192
0.850000,0.017969
0.870000,0.018134
0.890000,0.018100
0.910000,0.017959
0.930000,0.017995
0.950000,0.017697
0.970000,0.017747
0.990000,0.017312
1.010000,0.017111
1.030000,0.016797
1.050000,0.016623
1.070000,0.016429
1.090000,0.015975
1.110000,0.015721
1.130000,0.015158
1.150000,0.015083
1.170000,0.014244
1.190000,0.014254
1.210000,0.013679
1.230000,0.013244
1.250000,0.013085
1.270000,0.012515
1.290000,0.012352
1.310000,0.011737
1.330000,0.011297
1.350000,0.010920
1.370000,0.010575
1.390000,0.010101
1.410000,0.009775
1.430000,0.009408
1.450000,0.008926
1.470000,0.008731
1.490000,0.008279
1.510000,0.007882
1.530000,0.007619
1.550000,0.007223
1.570000,0.006898
1.590000,0.006555
1.610000,0.006159
1.630000,0.005939
1.650000,0.005539
1.670000,0.005273
1.690000,0.005042
1.710000,0.004754
1.730000,0.004487
1.750000,0.004395
1.770000,0.004099
1.790000,0.003757
1.810000,0.003484
1.830000,0.003267
1.850000,0.003189
1.870000,0.002977
1.890000,0.002750
1.910000,0.002610
1.930000,0.002347
1.950000,0.002259
1.970000,0.002171
1.990000,0.001956
2.010000,0.001865
2.030000,0.001797
2.050000,0.001570
2.070000,0.001516
2.090000,0.001333
2.110000,0.001251
2.130000,0.001179
2.150000,0.001045
2.170000,0.001064
2.190000,0.000957
2.210000,0.000902
2.230000,0.000840
2.250000,0.000723
2.270000,0.000670
2.290000,0.000647
2.310000,0.000574
2.330000,0.000561
2.350000,0.000486
2.370000,0.000473
2.390000,0.000417
2.410000,0.000393
2.430000,0.000341
2.450000,0.000317
2.470000,0.000293
2.490000,0.000239
2.510000,0.000231
2.530000,0.000244
2.550000,0.000208
2.570000,0.000190
2.590000,0.000191
2.610000,0.000152
2.630000,0.000136
2.650000,0.000125
2.670000,0.000112
2.690000,0.000096
2.710000,0.000082
2.730000,0.000070
2.750000,0.000084
2.770000,0.000060
2.790000,0.000047
2.810000,0.000054
2.830000,0.000049
2.850000,0.000060
2.870000,0.000033
2.890000,0.000032
2.910000,0.000029
2.930000,0.000024
2.950000,0.000034
2.970000,0.000025
2.990000,0.000026
3.010000,0.000023
3.030000,0.000021
3.050000,0.000011
3.070000,0.000009
3.090000,0.000007
3.110000,0.000011
3.130000,0.000011
3.150000,0.000007
3.170000,0.000006
3.190000,0.000003
3.210000,0.000011
3.230000,0.000001
3.250000,0.000008
3.270000,0.000003
3.290000,0.000004
3.310000,0.000006
3.330000,0.000002
3.350000,0.000002
3.370000,0.000001
3.390000,0.000003
3.410000,0.000001
3.430000,0.000000
3.450000,0.000001
3.470000,0.000001
3.490000,0.000000
3.510000,0.000001
3.530000,0.000000
3.550000,0.000002
3.570000,0.000001
3.590000,0.000001
3.610000,0.000001
3.630000,0.000000
3.650000,0.000000
3.670000,0.000000
3.690000,0.000001
3.710000,0.000000
3.730000,0.000001
3.750000,0.000000
3.770000,0.000000
3.790000,0.000000
3.810000,0.000000
3.830000,0.000000
3.850000,0.000000
3.870000,0.000000
3.890000,0.000000
3.910000,0.000000
3.930000,0.000000
3.950000,0.000000
3.970000,0.000000
3.990000,0.000000
