r,counts
0.010000,0.020045
0.030000,0.020291
0.050000,0.020124
0.070000,0.020181
0.090000,0.019910
0.110000,0.019754
0.130000,0.020028
0.150000,0.019832
0.170000,0.019972
0.190000,0.019716
0.210000,0.019525
0.230000,0.019676
0.250000,0.019334
0.270000,0.019276
0.290000,0.018995
0.310000,0.018841
0.330000,0.018734
0.350000,0.018309
0.370000,0.018326
0.390000,0.018005
0.410000,0.017940
0.430000,0.017356
0.450000,0.017148
0.470000,0.017370
0.490000,0.016727
0.510000,0.016742
0.530000,0.016241
0.550000,0.015936
0.570000,0.015787
0.590000,0.015402
0.610000,0.015381
0.630000,0.014951
0.650000,0.014510
0.670000,0.014223
0.690000,0.013993
0.710000,0.013878
0.730000,0.013458
0.750000,0.013193
0.770000,0.012744
0.790000,0.012331
0.810000,0.012183
0.830000,0.011917
0.850000,0.011730
0.870000,0.011307
0.890000,0.010926
0.910000,0.010597
0.930000,0.010365
0.950000,0.009990
0.970000,0.009691
0.990000,0.009417
1.010000,0.008974
1.030000,0.008834
1.050000,0.008528
1.070000,0.008110
1.090000,0.007945
1.110000,0.007369
1.130000,0.007173
1.150000,0.007065
1.170000,0.006798
1.190000,0.006524
1.210000,0.006453
1.230000,0.005975
1.250000,0.005747
1.270000,0.005461
1.290000,0.005241
1.310000,0.005049
1.330000,0.004821
1.350000,0.004580
1.370000,0.004443
1.390000,0.004225
1.410000,0.004035
1.430000,0.003790
1.450000,0.003534
1.470000,0.003432
1.490000,0.003336
1.510000,0.003227
1.530000,0.002933
1.550000,0.002816
1.570000,0.002700
1.590000,0.002514
1.610000,0.002401
1.630000,0.002248
1.650000,0.002072
1.670000,0.001969
1.690000,0.001935
1.710000,0.001767
1.730000,0.001646
1.750000,0.001505
1.770000,0.001446
1.790000,0.001368
1.810000,0.001311
1.830000,0.001174
1.850000,0.001135
1.870000,0.001053
1.890000,0.001004
1.910000,0.000910
1.930000,0.000889
1.950000,0.000793
1.970000,0.000757
1.990000,0.000683
2.010000,0.000620
2.030000,0.000585
2.050000,0.000554
2.070000,0.000513
2.090000,0.000458
2.110000,0.000444
2.130000,0.000436
2.150000,0.000377
2.170000,0.000335
2.190000,0.000330
2.210000,0.000283
2.230000,0.000259
2.250000,0.000279
2.270000,0.000235
2.290000,0.000191
2.310000,0.000176
2.330000,0.000164
2.350000,0.000155
2.370000,0.000144
2.390000,0.000122
2.410000,0.000117
2.430000,0.000133
2.450000,0.000087
2.470000,0.000104
2.490000,0.000076
2.510000,0.000080
2.530000,0.000066
2.550000,0.000073
2.570000,0.000066
2.590000,0.000045
2.610000,0.000048
2.630000,0.000044
2.650000,0.000037
2.670000,0.000039
2.690000,0.000023
2.710000,0.000036
2.730000,0.000030
2.750000,0.000022
2.770000,0.000016
2.790000,0.000013
2.810000,0.000016
2.830000,0.000015
2.850000,0.000020
2.870000,0.000014
2.890000,0.000009
2.910000,0.000007
2.930000,0.000008
2.950000,0.000013
2.970000,0.000008
2.990000,0.000005
3.010000,0.000004
3.030000,0.000007
3.050000,0.000006
3.070000,0.000008
3.090000,0.000006
3.110000,0.000006
3.130000,0.000005
3.150000,0.000003
3.170000,0.000003
3.190000,0.000001
3.210000,0.000001
3.230000,0.000003
3.250000,0.000006
3.270000,0.000000
3.290000,0.000001
3.310000,0.000000
3.330000,0.000000
3.350000,0.000001
3.370000,0.000000
3.390000,0.000000
3.410000,0.000001
3.430000,0.000000
3.450000,0.000000
3.470000,0.000000
3.490000,0.000000
3.510000,0.000000
3.530000,0.000000
3.550000,0.000001
3.570000,0.000000
3.590000,0.000000
3.610000,0.000000
3.630000,0.000000
3.650000,0.000000
3.670000,0.000000
3.690000,0.000000
3.710000,0.000000
3.730000,0.000000
3.750000,0.000000
3.770000,0.000000
3.790000,0.000000
3.810000,0.000000
3.830000,0.000000
3.850000,0.000000
3.870000,0.000000
3.890000,0.000000
3.910000,0.000000
3.930000,0.000000
3.950000,0.000000
3.970000,0.000000
3.990000,0.000000
