r,counts
0.010000,0.000000
0.030000,0.000013
0.050000,0.000039
0.070000,0.000066
0.090000,0.000101
0.110000,0.000173
0.130000,0.000226
0.150000,0.000340
0.170000,0.000404
0.190000,0.000501
0.210000,0.000631
0.230000,0.000730
0.250000,0.000880
0.270000,0.000975
0.290000,0.001197
0.310000,0.001431
0.330000,0.001542
0.350000,0.001652
0.370000,0.001890
0.390000,0.002118
0.410000,0.002332
0.430000,0.002574
0.450000,0.002820
0.470000,0.003108
0.490000,0.003413
0.510000,0.003504
0.530000,0.003743
0.550000,0.004136
0.570000,0.004276
0.590000,0.004575
0.610000,0.004968
0.630000,0.005090
0.650000,0.005479
0.670000,0.005669
0.690000,0.006286
0.710000,0.006475
0.730000,0.006586
0.750000,0.006903
0.770000,0.007344
0.790000,0.007607
0.810000,0.007826
0.830000,0.008249
0.850000,0.008591
0.870000,0.008909
0.890000,0.008888
0.910000,0.009535
0.930000,0.009805
0.950000,0.009919
0.970000,0.010316
0.990000,0.010504
1.010000,0.010741
1.030000,0.011018
1.050000,0.011210
1.070000,0.011353
1.090000,0.011876
1.110000,0.012033
1.130000,0.012077
1.150000,0.012260
1.170000,0.012530
1.190000,0.012662
1.210000,0.012741
1.230000,0.012609
1.250000,0.012995
1.270000,0.013074
1.290000,0.013265
1.310000,0.013294
1.330000,0.013267
1.350000,0.013456
1.370000,0.013541
1.390000,0.013471
1.410000,0.013597
1.430000,0.013673
1.450000,0.013559
1.470000,0.013670
1.490000,0.013447
1.510000,0.013596
1.530000,0.013391
1.550000,0.013326
1.570000,0.013264
1.590000,0.013079
1.610000,0.013191
1.630000,0.012966
1.650000,0.012894
1.670000,0.012742
1.690000,0.012411
1.710000,0.012322
1.730000,0.012149
1.750000,0.012059
1.770000,0.011936
1.790000,0.011612
1.810000,0.011552
1.830000,0.011290
1.850000,0.010985
1.870000,0.010513
1.890000,0.010413
1.910000,0.010239
1.930000,0.009929
1.950000,0.009723
1.970000,0.009363
1.990000,0.009269
2.010000,0.009258
2.030000,0.008580
2.050000,0.008209
2.070000,0.008128
2.090000,0.007735
2.110000,0.007489
2.130000,0.007262
2.150000,0.007092
2.170000,0.006734
2.190000,0.006515
2.210000,0.006217
2.230000,0.005993
2.250000,0.005625
2.270000,0.005419
2.290000,0.005238
2.310000,0.004831
2.330000,0.004679
2.350000,0.004591
2.370000,0.004237
2.390000,0.003955
2.410000,0.003906
2.430000,0.003649
2.450000,0.003330
2.470000,0.003207
2.490000,0.003021
2.510000,0.002880
2.530000,0.002722
2.550000,0.002527
2.570000,0.002364
2.590000,0.002185
2.610000,0.001981
2.630000,0.001911
2.650000,0.001844
2.670000,0.001625
2.690000,0.001567
2.710000,0.001469
2.730000,0.001342
2.750000,0.001237
2.770000,0.001231
2.790000,0.001066
2.810000,0.000979
2.830000,0.000872
2.850000,0.000820
2.870000,0.000763
2.890000,0.000672
2.910000,0.000685
2.930000,0.000595
2.950000,0.000546
2.970000,0.000496
2.990000,0.000454
3.010000,0.000415
3.030000,0.000392
3.050000,0.000343
3.070000,0.000303
3.090000,0.000251
3.110000,0.000275
3.130000,0.000249
3.150000,0.000230
3.170000,0.000175
3.190000,0.000169
3.210000,0.000168
3.230000,0.000142
3.250000,0.000129
3.270000,0.000102
3.290000,0.000097
3.310000,0.000091
3.330000,0.000086
3.350000,0.000072
3.370000,0.000068
3.390000,0.000074
3.410000,0.000049
3.430000,0.000045
3.450000,0.000042
3.470000,0.000041
3.490000,0.000032
3.510000,0.000021
3.530000,0.000025
3.550000,0.000033
3.570000,0.000023
3.590000,0.000021
3.610000,0.000019
3.630000,0.000018
3.650000,0.000008
3.670000,0.000013
3.690000,0.000013
3.710000,0.000006
3.730000,0.000007
3.750000,0.000008
3.770000,0.000003
3.790000,0.000006
3.810000,0.000003
3.830000,0.000005
3.850000,0.000002
3.870000,0.000005
3.890000,0.000002
3.910000,0.000001
3.930000,0.000003
3.950000,0.000002
3.970000,0.000001
3.990000,0.000000
