r,counts
0.010000,0.000005
0.030000,0.000061
0.050000,0.000227
0.070000,0.000354
0.090000,0.000646
0.110000,0.000888
0.130000,0.001236
0.150000,0.001600
0.170000,0.002090
0.190000,0.002475
0.210000,0.003078
0.230000,0.003717
0.250000,0.004136
0.270000,0.004830
0.290000,0.005445
0.310000,0.006272
0.330000,0.006896
0.350000,0.007442
0.370000,0.008492
0.390000,0.008978
0.410000,0.009659
0.430000,0.010316
0.450000,0.010997
0.470000,0.011606
0.490000,0.012249
0.510000,0.012861
0.530000,0.013659
0.550000,0.014303
0.570000,0.014748
0.590000,0.015235
0.610000,0.015978
0.630000,0.015862
0.650000,0.016535
0.670000,0.016677
0.690000,0.017122
0.710000,0.017769
0.730000,0.017655
0.750000,0.017763
0.770000,0.018410
0.790000,0.018091
0.810000,0.018279
0.830000,0.018351
0.850000,0.018249
0.870000,0.018244
0.890000,0.018265
0.910000,0.018064
0.930000,0.017883
0.950000,0.017675
0.970000,0.017937
0.990000,0.017480
1.010000,0.017118
1.030000,0.016751
1.050000,0.016481
1.070000,0.016334
1.090000,0.015909
1.110000,0.015711
1.130000,0.015275
1.150000,0.014915
1.170000,0.014398
1.190000,0.014166
1.210000,0.013688
1.230000,0.013229
1.250000,0.012970
1.270000,0.012335
1.290000,0.012170
1.310000,0.011780
1.330000,0.011306
1.350000,0.010886
1.370000,0.010406
1.390000,0.009914
1.410000,0.009622
1.430000,0.009220
1.450000,0.008817
1.470000,0.008388
1.490000,0.008144
1.510000,0.007868
1.530000,0.007487
1.550000,0.007125
1.570000,0.006602
1.590000,0.006281
1.610000,0.006028
1.630000,0.005791
1.650000,0.005508
1.670000,0.005104
1.690000,0.004888
1.710000,0.004589
1.730000,0.004475
1.750000,0.004084
1.770000,0.003932
1.790000,0.003657
1.810000,0.003507
1.830000,0.003135
1.850000,0.002985
1.870000,0.002853
1.890000,0.002683
1.910000,0.002563
1.930000,0.002414
1.950000,0.002251
1.970000,0.002092
1.990000,0.001980
2.010000,0.001873
2.030000,0.001651
2.050000,0.001536
2.070000,0.001429
2.090000,0.001313
2.110000,0.001243
2.130000,0.001235
2.150000,0.001094
2.170000,0.000941
2.190000,0.000921
2.210000,0.000865
2.230000,0.000775
2.250000,0.000735
2.270000,0.000677
2.290000,0.000644
2.310000,0.000557
2.330000,0.000501
2.350000,0.000481
2.370000,0.000440
2.390000,0.000423
2.410000,0.000344
2.430000,0.000344
2.450000,0.000343
2.470000,0.000304
2.490000,0.000258
2.510000,0.000223
2.530000,0.000230
2.550000,0.000201
2.570000,0.000179
2.590000,0.000143
2.610000,0.000160
2.630000,0.000132
2.650000,0.000122
2.670000,0.000097
2.690000,0.000104
2.710000,0.000096
2.730000,0.000075
2.750000,0.000070
2.770000,0.000063
2.790000,0.000060
2.810000,0.000050
2.830000,0.000051
2.850000,0.000042
2.870000,0.000041
2.890000,0.000051
2.910000,0.000034
2.930000,0.000026
2.950000,0.000023
2.970000,0.000019
2.990000,0.000016
3.010000,0.000018
3.030000,0.000019
3.050000,0.000011
3.070000,0.000012
3.090000,0.000016
3.110000,0.000009
3.130000,0.000005
3.150000,0.000005
3.170000,0.000007
3.190000,0.000008
3.210000,0.000007
3.230000,0.000002
3.250000,0.000004
3.270000,0.000005
3.290000,0.000000
3.310000,0.000001
3.330000,0.000004
3.350000,0.000002
3.370000,0.000003
3.390000,0.000002
3.410000,0.000002
3.430000,0.000006
3.450000,0.000001
3.470000,0.000000
3.490000,0.000002
3.510000,0.000002
3.530000,0.000001
3.550000,0.000001
3.570000,0.000001
3.590000,0.000001
3.610000,0.000000
3.630000,0.000002
3.650000,0.000000
3.670000,0.000000
3.690000,0.000000
3.710000,0.000000
3.730000,0.000000
3.750000,0.000000
3.770000,0.000000
3.790000,0.000000
3.810000,0.000000
3.830000,0.000000
3.850000,0.000000
3.870000,0.000000
3.890000,0.000000
3.910000,0.000000
3.930000,0.000000
3.950000,0.000000
3.970000,0.000000
3.990000,0.000000
