r,counts
0.010000,0.000012
0.030000,0.000079
0.050000,0.000178
0.070000,0.000393
0.090000,0.000592
0.110000,0.000850
0.130000,0.001262
0.150000,0.001699
0.170000,0.002138
0.190000,0.002599
0.210000,0.003046
0.230000,0.003702
0.250000,0.004254
0.270000,0.004926
0.290000,0.005651
0.310000,0.006223
0.330000,0.006926
0.350000,0.007597
0.370000,0.008248
0.390000,0.009006
0.410000,0.009889
0.430000,0.010266
0.450000,0.011170
0.470000,0.011833
0.490000,0.012309
0.510000,0.013009
0.530000,0.013550
0.550000,0.014175
0.570000,0.014968
0.590000,0.015444
0.610000,0.016015
0.630000,0.016059
0.650000,0.016620
0.670000,0.016958
0.690000,0.017506
0.710000,0.017507
0.730000,0.018019
0.750000,0.018002
0.770000,0.017997
0.790000,0.018059
0.810000,0.018368
0.830000,0.018097
0.850000,0.018179
0.870000,0.018233
0.890000,0.018258
0.910000,0.018086
0.930000,0.018135
0.950000,0.017657
0.970000,0.017465
0.990000,0.017305
1.010000,0.017040
1.030000,0.016848
1.050000,0.016542
1.070000,0.016340
1.090000,0.015506
1.110000,0.015628
1.130000,0.015479
1.150000,0.014938
1.170000,0.014739
1.190000,0.013805
1.210000,0.013647
1.230000,0.013140
1.250000,0.012840
1.270000,0.012458
1.290000,0.012013
1.310000,0.011589
1.330000,0.011278
1.350000,0.010779
1.370000,0.010426
1.390000,0.009908
1.410000,0.009603
1.430000,0.009063
1.450000,0.008915
1.470000,0.008769
1.490000,0.007973
1.510000,0.007719
1.530000,0.007325
1.550000,0.007082
1.570000,0.006562
1.590000,0.006435
1.610000,0.006155
1.630000,0.005655
1.650000,0.005181
1.670000,0.005175
1.690000,0.004727
1.710000,0.004739
1.730000,0.004282
1.750000,0.004151
1.770000,0.003898
1.790000,0.003677
1.810000,0.003382
1.830000,0.003212
1.850000,0.003044
1.870000,0.002884
1.890000,0.002679
1.910000,0.002513
1.930000,0.002402
1.950000,0.002162
1.970000,0.002112
1.990000,0.001949
2.010000,0.001806
2.030000,0.001726
2.050000,0.001459
2.070000,0.001461
2.090000,0.001326
2.110000,0.001251
2.130000,0.001194
2.150000,0.001046
2.170000,0.000948
2.190000,0.000923
2.210000,0.000803
2.230000,0.000798
2.250000,0.000757
2.270000,0.000669
2.290000,0.000586
2.310000,0.000577
2.330000,0.000487
2.350000,0.000489
2.370000,0.000427
2.390000,0.000379
2.410000,0.000374
2.430000,0.000354
2.450000,0.000323
2.470000,0.000284
2.490000,0.000260
2.510000,0.000216
2.530000,0.000194
2.550000,0.000172
2.570000,0.000174
2.590000,0.000176
2.610000,0.000128
2.630000,0.000140
2.650000,0.000104
2.670000,0.000120
2.690000,0.000086
2.710000,0.000089
2.730000,0.000088
2.750000,0.000079
2.770000,0.000078
2.790000,0.000056
2.810000,0.000053
2.830000,0.000050
2.850000,0.000045
2.870000,0.000034
2.890000,0.000030
2.910000,0.000029
2.930000,0.000031
2.950000,0.000022
2.970000,0.000031
2.990000,0.000020
3.010000,0.000013
3.030000,0.000015
3.050000,0.000019
3.070000,0.000014
3.090000,0.000013
3.110000,0.000012
3.130000,0.000004
3.150000,0.000010
3.170000,0.000004
3.190000,0.000008
3.210000,0.000004
3.230000,0.000005
3.250000,0.000005
3.270000,0.000004
3.290000,0.000001
3.310000,0.000001
3.330000,0.000004
3.350000,0.000003
3.370000,0.000005
3.390000,0.000000
3.410000,0.000001
3.430000,0.000001
3.450000,0.000001
3.470000,0.000002
3.490000,0.000000
3.510000,0.000000
3.530000,0.000000
3.550000,0.000000
3.570000,0.000001
3.590000,0.000000
3.610000,0.000000
3.630000,0.000000
3.650000,0.000000
3.670000,0.000000
3.690000,0.000000
3.710000,0.000000
3.730000,0.000000
3.750000,0.000000
3.770000,0.000000
3.790000,0.000000
3.810000,0.000000
3.830000,0.000000
3.850000,0.000000
3.870000,0.000000
3.890000,0.000000
3.910000,0.000000
3.930000,0.000000
3.950000,0.000000
3.970000,0.000000
3.990000,0.000000
