r,counts
0.010000,0.000004
0.030000,0.000015
0.050000,0.000034
0.070000,0.000060
0.090000,0.000108
0.110000,0.000198
0.130000,0.000219
0.150000,0.000283
0.170000,0.000414
0.190000,0.000521
0.210000,0.000613
0.230000,0.000799
0.250000,0.000914
0.270000,0.001037
0.290000,0.001129
0.310000,0.001365
0.330000,0.001476
0.350000,0.001599
0.370000,0.001905
0.390000,0.002092
0.410000,0.002383
0.430000,0.002541
0.450000,0.002861
0.470000,0.003127
0.490000,0.003287
0.510000,0.003578
0.530000,0.003759
0.550000,0.004081
0.570000,0.004333
0.590000,0.004601
0.610000,0.004846
0.630000,0.005036
0.650000,0.005461
0.670000,0.005802
0.690000,0.006107
0.710000,0.006387
0.730000,0.006617
0.750000,0.006913
0.770000,0.007454
0.790000,0.007638
0.810000,0.007797
0.830000,0.008156
0.850000,0.008720
0.870000,0.008677
0.890000,0.009168
0.910000,0.009328
0.930000,0.009764
0.950000,0.010081
0.970000,0.010235
0.990000,0.010585
1.010000,0.010886
1.030000,0.011040
1.050000,0.011215
1.070000,0.011605
1.090000,0.011760
1.110000,0.011956
1.130000,0.012222
1.150000,0.012100
1.170000,0.012486
1.190000,0.012565
1.210000,0.012774
1.230000,0.012831
1.250000,0.012985
1.270000,0.013065
1.290000,0.013446
1.310000,0.013427
1.330000,0.013415
1.350000,0.013481
1.370000,0.013814
1.390000,0.013501
1.410000,0.013772
1.430000,0.013446
1.450000,0.013706
1.470000,0.013634
1.490000,0.013798
1.510000,0.013401
1.530000,0.013554
1.550000,0.013552
1.570000,0.013213
1.590000,0.013292
1.610000,0.013016
1.630000,0.013001
1.650000,0.012695
1.670000,0.012719
1.690000,0.012470
1.710000,0.012499
1.730000,0.012233
1.750000,0.012078
1.770000,0.011865
1.790000,0.011480
1.810000,0.011391
1.830000,0.011054
1.850000,0.010973
1.870000,0.010783
1.890000,0.010518
1.910000,0.010343
1.930000,0.010004
1.950000,0.009743
1.970000,0.009501
1.990000,0.008971
2.010000,0.008794
2.030000,0.008624
2.050000,0.008351
2.070000,0.008030
2.090000,0.007719
2.110000,0.007538
2.130000,0.007227
2.150000,0.006901
2.170000,0.006698
2.190000,0.006518
2.210000,0.006160
2.230000,0.005796
2.250000,0.005568
2.270000,0.005394
2.290000,0.005186
2.310000,0.004993
2.330000,0.004616
2.350000,0.004510
2.370000,0.004197
2.390000,0.003998
2.410000,0.003765
2.430000,0.003531
2.450000,0.003380
2.470000,0.003225
2.490000,0.003012
2.510000,0.002807
2.530000,0.002636
2.550000,0.002528
2.570000,0.002417
2.590000,0.002180
2.610000,0.002010
2.630000,0.001891
2.650000,0.001758
2.670000,0.001695
2.690000,0.001515
2.710000,0.001523
2.730000,0.001295
2.750000,0.001223
2.770000,0.001161
2.790000,0.001088
2.810000,0.000957
2.830000,0.000890
2.850000,0.000760
2.870000,0.000787
2.890000,0.000704
2.910000,0.000679
2.930000,0.000586
2.950000,0.000561
2.970000,0.000481
2.990000,0.000431
3.010000,0.000399
3.030000,0.000392
3.050000,0.000354
3.070000,0.000331
3.090000,0.000288
3.110000,0.000239
3.130000,0.000234
3.150000,0.000212
3.170000,0.000221
3.190000,0.000163
3.210000,0.000162
3.230000,0.000151
3.250000,0.000134
3.270000,0.000117
3.290000,0.000107
3.310000,0.000086
3.330000,0.000066
3.350000,0.000067
3.370000,0.000068
3.390000,0.000049
3.410000,0.000049
3.430000,0.000053
3.450000,0.000038
3.470000,0.000039
3.490000,0.000033
3.510000,0.000032
3.530000,0.000025
3.550000,0.000031
3.570000,0.000022
3.590000,0.000024
3.610000,0.000016
3.630000,0.000014
3.650000,0.000010
3.670000,0.000018
3.690000,0.000009
3.710000,0.000004
3.730000,0.000008
3.750000,0.000003
3.770000,0.000005
3.790000,0.000003
3.810000,0.000008
3.830000,0.000003
3.850000,0.000006
3.870000,0.000002
3.890000,0.000003
3.910000,0.000001
3.930000,0.000005
3.950000,0.000002
3.970000,0.000004
3.990000,0.000000
