r,counts
0.010000,0.020338
0.030000,0.020174
0.050000,0.020420
0.070000,0.020045
0.090000,0.020285
0.110000,0.020321
0.130000,0.019960
0.150000,0.019860
0.170000,0.019941
0.190000,0.019648
0.210000,0.019490
0.230000,0.019249
0.250000,0.019256
0.270000,0.019262
0.290000,0.019009
0.310000,0.019099
0.330000,0.018737
0.350000,0.018454
0.370000,0.018194
0.390000,0.018118
0.410000,0.017924
0.430000,0.017623
0.450000,0.017312
0.470000,0.017111
0.490000,0.017142
0.510000,0.016496
0.530000,0.016531
0.550000,0.015864
0.570000,0.015824
0.590000,0.015358
0.610000,0.015203
0.630000,0.014980
0.650000,0.014506
0.670000,0.014306
0.690000,0.013824
0.710000,0.013752
0.730000,0.013304
0.750000,0.013045
0.770000,0.012940
0.790000,0.012637
0.810000,0.012095
0.830000,0.011961
0.850000,0.011288
0.870000,0.011367
0.890000,0.010881
0.910000,0.010811
0.930000,0.010276
0.950000,0.010100
0.970000,0.009614
0.990000,0.009202
1.010000,0.009137
1.030000,0.008797
1.050000,0.008348
1.070000,0.007950
1.090000,0.007888
1.110000,0.007651
1.130000,0.007293
1.150000,0.006998
1.170000,0.006816
1.190000,0.006438
1.210000,0.006246
1.230000,0.006061
1.250000,0.005714
1.270000,0.005455
1.290000,0.005364
1.310000,0.004953
1.330000,0.004897
1.350000,0.004688
1.370000,0.004414
1.390000,0.004097
1.410000,0.004130
1.430000,0.003855
1.450000,0.003586
1.470000,0.003370
1.490000,0.003339
1.510000,0.003032
1.530000,0.002874
1.550000,0.002783
1.570000,0.002731
1.590000,0.002536
1.610000,0.002347
1.630000,0.002196
1.650000,0.002179
1.670000,0.001917
1.690000,0.001893
1.710000,0.001681
1.730000,0.001616
1.750000,0.001504
1.770000,0.001454
1.790000,0.001306
1.810000,0.001255
1.830000,0.001147
1.850000,0.001072
1.870000,0.001015
1.890000,0.001010
1.910000,0.000872
1.930000,0.000801
1.950000,0.000783
1.970000,0.000735
1.990000,0.000685
2.010000,0.000633
2.030000,0.000630
2.050000,0.000514
2.070000,0.000474
2.090000,0.000463
2.110000,0.000434
2.130000,0.000394
2.150000,0.000366
2.170000,0.000334
2.190000,0.000321
2.210000,0.000292
2.230000,0.000265
2.250000,0.000267
2.270000,0.000196
2.290000,0.000202
2.310000,0.000180
2.330000,0.000179
2.350000,0.000173
2.370000,0.000131
2.390000,0.000120
2.410000,0.000139
2.430000,0.000091
2.450000,0.000114
2.470000,0.000114
2.490000,0.000082
2.510000,0.000082
2.530000,0.000062
2.550000,0.000067
2.570000,0.000071
2.590000,0.000055
2.610000,0.000036
2.630000,0.000034
2.650000,0.000028
2.670000,0.000041
2.690000,0.000039
2.710000,0.000036
2.730000,0.000029
2.750000,0.000035
2.770000,0.000026
2.790000,0.000020
2.810000,0.000014
2.830000,0.000016
2.850000,0.000020
2.870000,0.000012
2.890000,0.000014
2.910000,0.000011
2.930000,0.000011
2.950000,0.000012
2.970000,0.000007
2.990000,0.000005
3.010000,0.000003
3.030000,0.000006
3.050000,0.000004
3.070000,0.000004
3.090000,0.000004
3.110000,0.000006
3.130000,0.000004
3.150000,0.000001
3.170000,0.000004
3.190000,0.000002
3.210000,0.000004
3.230000,0.000002
3.250000,0.000002
3.270000,0.000001
3.290000,0.000001
3.310000,0.000001
3.330000,0.000000
3.350000,0.000000
3.370000,0.000000
3.390000,0.000002
3.410000,0.000002
3.430000,0.000001
3.450000,0.000000
3.470000,0.000000
3.490000,0.000000
3.510000,0.000000
3.530000,0.000000
3.550000,0.000000
3.570000,0.000000
3.590000,0.000000
3.610000,0.000000
3.630000,0.000001
3.650000,0.000000
3.670000,0.000003
3.690000,0.000000
3.710000,0.000002
3.730000,0.000000
3.750000,0.000000
3.770000,0.000000
3.790000,0.000000
3.810000,0.000000
3.830000,0.000000
3.850000,0.000000
3.870000,0.000000
3.890000,0.000000
3.910000,0.000000
3.930000,0.000000
3.950000,0.000000
3.970000,0.000000
3.990000,0.000000
