r,counts
0.010000,0.000010
0.030000,0.000063
0.050000,0.000199
0.070000,0.000392
0.090000,0.000550
0.110000,0.000877
0.130000,0.001196
0.150000,0.001582
0.170000,0.002078
0.190000,0.002434
0.210000,0.003082
0.230000,0.003536
0.250000,0.004052
0.270000,0.004751
0.290000,0.005397
0.310000,0.005962
0.330000,0.006862
0.350000,0.007515
0.370000,0.008241
0.390000,0.008845
0.410000,0.009564
0.430000,0.010248
0.450000,0.010896
0.470000,0.011503
0.490000,0.012241
0.510000,0.012907
0.530000,0.013526
0.550000,0.013836
0.570000,0.014692
0.590000,0.015095
0.610000,0.015545
0.630000,0.016001
0.650000,0.016398
0.670000,0.016554
0.690000,0.016994
0.710000,0.017296
0.730000,0.017592
0.750000,0.017781
0.770000,0.018061
0.790000,0.018291
0.810000,0.017760
0.830000,0.018443
0.850000,0.018255
0.870000,0.018133
0.890000,0.018310
0.910000,0.018077
0.930000,0.017948
0.950000,0.017688
0.970000,0.017822
0.990000,0.017572
1.010000,0.017266
1.030000,0.016862
1.050000,0.016514
1.070000,0.016324
1.090000,0.015948
1.110000,0.015693
1.130000,0.014947
1.150000,0.015126
1.170000,0.014702
1.190000,0.014208
1.210000,0.013579
1.230000,0.013349
1.250000,0.013121
1.270000,0.012530
1.290000,0.012109
1.310000,0.011788
1.330000,0.011430
1.350000,0.011071
1.370000,0.010420
1.390000,0.010290
1.410000,0.009713
1.430000,0.009378
1.450000,0.008907
1.470000,0.008567
1.490000,0.008163
1.510000,0.007765
1.530000,0.007398
1.550000,0.007189
1.570000,0.006679
1.590000,0.006529
1.610000,0.006262
1.630000,0.005845
1.650000,0.005434
1.670000,0.005224
1.690000,0.004969
1.710000,0.004574
1.730000,0.004434
1.750000,0.004292
1.770000,0.004004
1.790000,0.003654
1.810000,0.003626
1.830000,0.003267
1.850000,0.003187
1.870000,0.002949
1.890000,0.002669
1.910000,0.002599
1.930000,0.002420
1.950000,0.002317
1.970000,0.002193
1.990000,0.002065
2.010000,0.001880
2.030000,0.001670
2.050000,0.001573
2.070000,0.001528
2.090000,0.001407
2.110000,0.001233
2.130000,0.001194
2.150000,0.001116
2.170000,0.001035
2.190000,0.000910
2.210000,0.000954
2.230000,0.000790
2.250000,0.000716
2.270000,0.000701
2.290000,0.000592
2.310000,0.000579
2.330000,0.000544
2.350000,0.000482
2.370000,0.000444
2.390000,0.000419
2.410000,0.000383
2.430000,0.000354
2.450000,0.000328
2.470000,0.000258
2.490000,0.000256
2.510000,0.000236
2.530000,0.000186
2.550000,0.000202
2.570000,0.000163
2.590000,0.000165
2.610000,0.000141
2.630000,0.000129
2.650000,0.000128
2.670000,0.000121
2.690000,0.000092
2.710000,0.000086
2.730000,0.000081
2.750000,0.000072
2.770000,0.000068
2.790000,0.000064
2.810000,0.000051
2.830000,0.000051
2.850000,0.000052
2.870000,0.000043
2.890000,0.000038
2.910000,0.000024
2.930000,0.000022
2.950000,0.000026
2.970000,0.000023
2.990000,0.000026
3.010000,0.000017
3.030000,0.000019
3.050000,0.000011
3.070000,0.000013
3.090000,0.000007
3.110000,0.000007
3.130000,0.000007
3.150000,0.000008
3.170000,0.000009
3.190000,0.000005
3.210000,0.000010
3.230000,0.000005
3.250000,0.000005
3.270000,0.000008
3.290000,0.000003
3.310000,0.000002
3.330000,0.000004
3.350000,0.000003
3.370000,0.000001
3.390000,0.000000
3.410000,0.000000
3.430000,0.000005
3.450000,0.000001
3.470000,0.000001
3.490000,0.000004
3.510000,0.000001
3.530000,0.000000
3.550000,0.000001
3.570000,0.000002
3.590000,0.000000
3.610000,0.000000
3.630000,0.000000
3.650000,0.000000
3.670000,0.000002
3.690000,0.000000
3.710000,0.000001
3.730000,0.000000
3.750000,0.000000
3.770000,0.000000
3.790000,0.000000
3.810000,0.000000
3.830000,0.000000
3.850000,0.000000
3.870000,0.000000
3.890000,0.000000
3.910000,0.000000
3.930000,0.000000
3.950000,0.000000
3.970000,0.000000
3.990000,0.000000
