energy,std
17.050910146553047,0.018233803044457597
16.513472765645023,0.015065357718464803
16.138621660150534,0.012837845508311182
15.825522768817418,0.010796897908625182
15.56651168068551,0.008476829029762682
15.367786202328205,0.006692876615742131
15.232320365729333,0.0051396696038976475
15.11609386873532,0.0035961184450529374
15.0519406330166,0.0023726735625307087
15.013419349193573,0.0011316285183826005
15.0,0.0
15.01153641658116,0.0010613810370228825
15.043655697384837,0.0020798296728805673
15.09345183333921,0.0030093045374744586
15.162417032971378,0.0036383047906354445
15.245386252236836,0.004594317806596516
15.356123308355809,0.005275489812859472
15.457909638052453,0.005976967694620287
15.58556954079437,0.0069335815044076245
15.71175472706223,0.0072156139476587215
15.846840068635458,0.008149810231270958
