alpha,energy,STD
0.2,21.5728,15.1977
0.26,18.3735,6.382
0.32,16.0042,2.59639
0.38,15.3764,1.07862
0.44,15.1475,0.218786
0.5,15,0
0.56,15.0868,0.179713
0.62,15.2515,0.782512
0.68,15.5238,1.73131
0.74,16.2092,2.19742
