alpha,energy,STD
0.2,121.803,498.646
0.26,122.397,305.391
0.32,128.218,134.756
0.38,137.087,68.827
0.44,143.505,12.0567
0.5,150,0
0.56,156.185,9.90398
0.62,164.627,33.1581
0.68,170.907,80.7722
0.74,175.07,148.531
