r,counts
0.01,7.17163e-05
0.03,4.73022e-05
0.05,0.000125122
0.07,0.000350952
0.09,0.000402832
0.11,0.000984192
0.13,0.000967407
0.15,0.00141144
0.17,0.00182343
0.19,0.0015564
0.21,0.0024231
0.23,0.00294952
0.25,0.00304871
0.27,0.00341644
0.29,0.00425262
0.31,0.00428772
0.33,0.00479279
0.35,0.00477905
0.37,0.00659027
0.39,0.0066391
0.41,0.0078064
0.43,0.0083725
0.45,0.00792236
0.47,0.00900726
0.49,0.00883942
0.51,0.00997772
0.53,0.0100098
0.55,0.0111359
0.57,0.0115845
0.59,0.0113495
0.61,0.0132172
0.63,0.013176
0.65,0.0135208
0.67,0.013324
0.69,0.0133469
0.71,0.0132431
0.73,0.0158707
0.75,0.0144424
0.77,0.014859
0.79,0.0152161
0.81,0.0152969
0.83,0.0157532
0.85,0.0164642
0.87,0.0167435
0.89,0.0164841
0.91,0.0160568
0.93,0.0163788
0.95,0.0167252
0.97,0.0160812
0.99,0.016394
1.01,0.0156937
1.03,0.0157745
1.05,0.0156982
1.07,0.0145981
1.09,0.0163025
1.11,0.015654
1.13,0.0158661
1.15,0.0150482
1.17,0.0167374
1.19,0.0159866
1.21,0.0136154
1.23,0.0139938
1.25,0.0142227
1.27,0.0139008
1.29,0.0136978
1.31,0.0135666
1.33,0.0127716
1.35,0.0130768
1.37,0.0129395
1.39,0.0119644
1.41,0.0128983
1.43,0.0115448
1.45,0.0111526
1.47,0.0105423
1.49,0.0110336
1.51,0.0102585
1.53,0.0102524
1.55,0.00961609
1.57,0.0090332
1.59,0.00880432
1.61,0.00878601
1.63,0.00909424
1.65,0.00763855
1.67,0.00659637
1.69,0.0087265
1.71,0.00729218
1.73,0.00621033
1.75,0.00548859
1.77,0.00595245
1.79,0.00509796
1.81,0.00466919
1.83,0.00497742
1.85,0.00439606
1.87,0.00380554
1.89,0.00395966
1.91,0.00479126
1.93,0.0035141
1.95,0.00327759
1.97,0.00310516
1.99,0.00320282
2.01,0.00286255
2.03,0.00289154
2.05,0.00238953
2.07,0.00268402
2.09,0.00209045
2.11,0.00239716
2.13,0.00182953
2.15,0.00149841
2.17,0.00198822
2.19,0.00159912
2.21,0.00151825
2.23,0.00102997
2.25,0.00118408
2.27,0.00136261
2.29,0.00135651
2.31,0.00125732
2.33,0.00102844
2.35,0.00085144
2.37,0.000798035
2.39,0.00078125
2.41,0.000666809
2.43,0.000567627
2.45,0.000791931
2.47,0.000363159
2.49,0.000663757
2.51,0.000453186
2.53,0.000424194
2.55,0.000665283
2.57,0.000460815
2.59,0.000479126
2.61,0.000294495
2.63,0.000343323
2.65,0.00027771
2.67,0.000422668
2.69,9.46045e-05
2.71,0.000463867
2.73,0.000119019
2.75,0.000170898
2.77,0.000326538
2.79,0.000312805
2.81,0.0001297
2.83,5.18799e-05
2.85,8.23975e-05
2.87,8.39233e-05
2.89,9.00269e-05
2.91,0.000138855
2.93,0.000154114
2.95,0.000143433
2.97,3.20435e-05
2.99,0.000169373
3.01,0.000100708
3.03,0.000205994
3.05,5.34058e-05
3.07,7.78198e-05
3.09,2.28882e-05
3.11,1.98364e-05
3.13,5.34058e-05
3.15,5.95093e-05
3.17,5.79834e-05
3.19,4.57764e-05
3.21,5.79834e-05
3.23,6.10352e-06
3.25,2.28882e-05
3.27,0
3.29,1.52588e-05
3.31,0
3.33,9.15527e-06
3.35,6.10352e-06
3.37,3.05176e-06
3.39,0
3.41,0
3.43,0
3.45,0
3.47,0
3.49,0
3.51,0
3.53,0
3.55,0
3.57,0
3.59,0
3.61,0
3.63,0
3.65,0
3.67,0
3.69,0
3.71,0
3.73,0
3.75,0
3.77,0
3.79,0
3.81,0
3.83,0
3.85,0
3.87,0
3.89,0
3.91,0
3.93,0
3.95,0
3.97,0
3.99,0
