r,counts
0.01,4.57764e-06
0.03,6.71387e-05
0.05,9.46045e-05
0.07,0.000166321
0.09,0.000405884
0.11,0.00071106
0.13,0.000674438
0.15,0.0012207
0.17,0.0014267
0.19,0.00136719
0.21,0.00196686
0.23,0.00274353
0.25,0.00256805
0.27,0.0023468
0.29,0.00357361
0.31,0.00405579
0.33,0.00429993
0.35,0.00483246
0.37,0.00488586
0.39,0.00610352
0.41,0.00591736
0.43,0.0068512
0.45,0.00691528
0.47,0.00791779
0.49,0.00831909
0.51,0.00832825
0.53,0.00964966
0.55,0.0096283
0.57,0.0111649
0.59,0.0105484
0.61,0.0116531
0.63,0.0115265
0.65,0.0122528
0.67,0.0126038
0.69,0.0130356
0.71,0.0122299
0.73,0.0134216
0.75,0.0139572
0.77,0.0146713
0.79,0.0151108
0.81,0.0135818
0.83,0.0156219
0.85,0.0157379
0.87,0.0153595
0.89,0.0142395
0.91,0.0153122
0.93,0.0160095
0.95,0.0151611
0.97,0.015596
0.99,0.0162888
1.01,0.0160751
1.03,0.0144897
1.05,0.0161469
1.07,0.016333
1.09,0.0154114
1.11,0.016304
1.13,0.0149979
1.15,0.0153336
1.17,0.0133713
1.19,0.0145401
1.21,0.0154892
1.23,0.0147583
1.25,0.0135452
1.27,0.0153412
1.29,0.0126465
1.31,0.0143585
1.33,0.0145615
1.35,0.0127426
1.37,0.0124039
1.39,0.0130539
1.41,0.0114304
1.43,0.0113113
1.45,0.0106171
1.47,0.0106888
1.49,0.01147
1.51,0.0111404
1.53,0.00986328
1.55,0.0108871
1.57,0.0091507
1.59,0.00967255
1.61,0.0089798
1.63,0.00813751
1.65,0.00813293
1.67,0.00726318
1.69,0.00701141
1.71,0.00747833
1.73,0.0073822
1.75,0.00604858
1.77,0.00601349
1.79,0.00626221
1.81,0.00607605
1.83,0.00616302
1.85,0.00550232
1.87,0.00524445
1.89,0.00477295
1.91,0.00372009
1.93,0.00466461
1.95,0.00478363
1.97,0.004245
1.99,0.00450745
2.01,0.0035202
2.03,0.00329742
2.05,0.0037323
2.07,0.0036087
2.09,0.0035553
2.11,0.00297852
2.13,0.00265503
2.15,0.00269012
2.17,0.00286102
2.19,0.0026001
2.21,0.00318146
2.23,0.00245972
2.25,0.001828
2.27,0.00200195
2.29,0.00172272
2.31,0.00169525
2.33,0.00164185
2.35,0.00169678
2.37,0.00144043
2.39,0.00140991
2.41,0.00124969
2.43,0.00111237
2.45,0.00116425
2.47,0.00147247
2.49,0.00110016
2.51,0.000875854
2.53,0.000489807
2.55,0.000994873
2.57,0.000830078
2.59,0.000604248
2.61,0.000944519
2.63,0.000646973
2.65,0.000482178
2.67,0.000482178
2.69,0.000444031
2.71,0.000241089
2.73,0.000796509
2.75,0.0006073
2.77,0.000259399
2.79,0.000292969
2.81,0.000270081
2.83,0.000265503
2.85,0.000239563
2.87,8.08716e-05
2.89,0.000134277
2.91,8.8501e-05
2.93,6.86646e-05
2.95,7.62939e-05
2.97,0.000123596
2.99,5.18799e-05
3.01,1.2207e-05
3.03,7.62939e-05
3.05,1.52588e-05
3.07,2.59399e-05
3.09,3.05176e-05
3.11,1.83105e-05
3.13,1.06812e-05
3.15,4.57764e-06
3.17,1.67847e-05
3.19,0
3.21,0
3.23,2.59399e-05
3.25,0
3.27,4.57764e-05
3.29,0
3.31,0
3.33,0
3.35,0
3.37,0
3.39,0
3.41,0
3.43,0
3.45,0
3.47,0
3.49,0
3.51,0
3.53,0
3.55,0
3.57,0
3.59,0
3.61,0
3.63,0
3.65,0
3.67,0
3.69,0
3.71,0
3.73,0
3.75,0
3.77,0
3.79,0
3.81,0
3.83,0
3.85,0
3.87,0
3.89,0
3.91,0
3.93,0
3.95,0
3.97,0
3.99,0
